total_pressure,total_enthalpy,heat_transfer_coef,Velocity,Temperature
0.078935003,704502.8034,12.77947228,10,1000
0.077887833,704514.5382,12.69887188,10,1000
0.076842218,704526.0524,12.61978721,10,1000
0.075798123,704537.3528,12.54217178,10,1000
0.074755707,704548.4459,12.46598107,10,1000
0.073715214,704559.3378,12.39117406,10,1000
0.072676858,704570.0342,12.31771107,10,1000
0.071640197,704580.5412,12.24554886,10,1000
0.070605288,704590.8646,12.17464849,10,1000
0.069573211,704601.0092,12.10497898,10,1000
0.068544004,704610.9796,12.03650661,10,1000
0.067516769,704620.7814,11.96919161,10,1000
0.066491663,704630.4196,11.90300066,10,1000
0.065470423,704639.8981,11.83791066,10,1000
0.064453281,704649.2209,11.77388939,10,1000
0.063438973,704658.3934,11.71089975,10,1000
0.062425193,704667.4198,11.64891334,10,1000
0.061413429,704676.3032,11.5879118,10,1000
0.060402479,704685.0462,11.52787436,10,1000
0.059388949,704693.6538,11.46876553,10,1000
0.058376111,704702.1295,11.41056654,10,1000
0.057363995,704710.4751,11.35326524,10,1000
0.056354802,704718.6945,11.29682694,10,1000
0.055348513,704726.7925,11.24121989,10,1000
0.054342425,704734.7712,11.18643777,10,1000
0.053341603,704742.6309,11.13247881,10,1000
0.052342402,704750.3763,11.07929893,10,1000
0.051342412,704758.0111,11.02687807,10,1000
0.050350325,704765.5387,10.97519598,10,1000
0.049359478,704772.9622,10.92422879,10,1000
0.048372788,704780.2361,10.87436879,10,1000
0.047360811,704787.4071,10.82522032,10,1000
0.046342032,704794.5317,10.77629635,10,1000
0.045352653,704801.5675,10.72796582,10,1000
0.044375054,704808.5031,10.68033748,10,1000
0.043411423,704815.3407,10.63339442,10,1000
0.042458579,704822.083,10.58711061,10,1000
0.041516967,704828.7234,10.54154844,10,1000
0.04057801,704835.3322,10.49610976,10,1000
0.03964062,704841.8237,10.45152919,10,1000
0.038710374,704848.1763,10.407998,10,1000
0.037784892,704854.4889,10.3646765,10,1000
0.036863656,704860.721,10.32190952,10,1000
0.035946484,704866.8742,10.2796872,10,1000
0.035032688,704872.9505,10.23799365,10,1000
0.034122477,704878.9518,10.19681513,10,1000
